iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
1,-339.5344323,-554.7728328,-0.32541091,-0.07569402,-0.001213574,-0.125869119,-0.032084407,-0.000623021,-0.154390507,-0.381396975,-0.035049536
2,-310.6895751,-476.9356849,-0.363124766,-0.094141196,-0.001591926,-0.157839126,-0.040417498,-0.000548632,-0.174758819,-0.75388018,-0.031925589
3,-132.5193206,-386.7090354,-0.309876246,-0.076566355,-0.001205954,-0.132736353,-0.032763801,-0.000525563,-0.171994349,-150.5977746,-0.031183372
4,-452.7291286,-496.4309139,-0.260846149,-0.066624244,-0.001170978,-0.120715153,-0.028751807,-0.000374006,-0.148069909,-0.276884031,-0.01958357
5,-316.0248419,-500.4520445,-0.369111963,-0.093630573,-0.001698863,-0.128816413,-0.042490565,-0.000649314,-0.174774717,-0.307624269,-0.043113908
6,-298.958875,-436.0255192,-0.397367295,-0.095480602,-0.00167178,-0.179094912,-0.039155316,-0.00047403,-0.240711682,-0.678387363,-0.029864683
7,-140.8084418,-432.6092169,-0.295830324,-0.069664747,-0.001510069,-0.125083722,-0.029997288,-0.000429745,-0.157474975,-130.0617635,-0.028850584
8,-380.5772804,-546.4754763,-0.31457578,-0.075847921,-0.001114103,-0.120191217,-0.032283923,-0.000302511,-0.151639019,-0.225641739,-0.022471078
9,-290.8339874,-604.8514965,-0.226028121,-0.051027692,-0.000870677,-0.095760069,-0.021238167,-0.000266769,-0.138225238,-0.191150014,-0.016820942
10,-131.8027063,-338.297195,-0.236680952,-0.05285538,-0.000947185,-0.088820046,-0.022351712,-0.000427514,-0.118863264,-165.3238902,-0.017924363
11,-304.1989187,-551.3721657,-0.322283279,-0.083635971,-0.001239409,-0.126485773,-0.036282865,-0.000315205,-0.170762173,-0.394204807,-0.022782884
12,-165.4548061,-425.8874289,-0.26047957,-0.063907166,-0.001111,-0.109568367,-0.027545353,-0.000290495,-0.126937376,-213.0206157,-0.022944318
13,-348.4533286,-514.0913072,-0.3332192,-0.088004788,-0.00157829,-0.141636722,-0.039380488,-0.000602817,-0.177920652,-0.706807668,-0.036828205
14,-248.6028698,-394.335499,-0.266387623,-0.067217376,-0.001105445,-0.114609147,-0.028188573,-0.000518976,-0.135403978,-110.5645108,-0.026474199
15,-348.0389988,-616.5049879,-0.332996997,-0.07834487,-0.001518144,-0.12978909,-0.033071488,-0.000525979,-0.176422248,-0.443512694,-0.028101801
16,-212.059275,-548.681517,-0.283457431,-0.065898157,-0.001166839,-0.095431316,-0.030091705,-0.000432823,-0.127346701,-212.8069068,-0.02274046
17,-358.3232899,-609.0963624,-0.4119107,-0.102033058,-0.001659342,-0.169260351,-0.043410822,-0.000567899,-0.223322765,-0.504847419,-0.038969653
18,-351.8674105,-457.14976,-0.31472693,-0.074770664,-0.001194508,-0.112602398,-0.0330563,-0.000501853,-0.169414947,-1.382448347,-0.029555975
19,-262.6048619,-469.7556741,-0.375243897,-0.087860585,-0.001518604,-0.140937454,-0.03780871,-0.000450285,-0.188829615,-0.536361498,-0.033038717
20,-307.5218959,-466.0693993,-0.24636199,-0.059350399,-0.000971088,-0.109172291,-0.024514185,-0.000342535,-0.125796537,-0.411640982,-0.020029322
21,-183.3724049,-518.2655883,-0.328971852,-0.080185134,-0.001548543,-0.111164417,-0.037239276,-0.00067223,-0.142569099,-183.1227713,-0.039339205
22,-290.9634525,-431.1129804,-0.272824,-0.068015026,-0.001224394,-0.110728906,-0.030182136,-0.000535289,-0.130063771,-0.301871928,-0.024732542
23,-325.8576072,-551.8313277,-0.372502695,-0.091744054,-0.001410487,-0.154713631,-0.039450216,-0.000498334,-0.201970602,-0.612838374,-0.03507084
24,-303.2777277,-437.1787379,-0.308311231,-0.078444872,-0.001530207,-0.141961323,-0.03476445,-0.00058473,-0.314424263,-0.311327067,-0.040474526
25,-214.2479625,-486.0487608,-0.429230113,-0.101838131,-0.001734059,-0.172125895,-0.044476142,-0.000681333,-0.21773706,-208.9544828,-0.048875893
26,-141.2849897,-559.1973595,-0.358519214,-0.09399725,-0.001403762,-0.150938008,-0.040785924,-0.000593879,-0.17816134,-229.9040944,-0.043230811
27,-296.401963,-377.5666206,-0.253445885,-0.06365588,-0.001198192,-0.108150367,-0.027569341,-0.000382234,-0.14161571,-0.5377998,-0.018528235
28,-390.62246,-589.2051372,-0.358752625,-0.090306023,-0.001511058,-0.142581919,-0.041022414,-0.000592912,-0.175287813,-0.308653614,-0.043603815
29,-138.4666484,-534.6049525,-0.306041261,-0.077139744,-0.001155939,-0.11774093,-0.032805811,-0.000422025,-0.14980043,-175.2979071,-0.024670606
